(3,110,47.37337213440447) 
(3,111,4.208875955198511) 
(3,78,46.29763550718362) 
(3,81,16.835503820794045) 
(3,66,10.077177180039683) 
(3,64,8.9399417983933) 
(3,61,18.9399417983933) 
(3,108,4.208875955198511) 
(3,107,4.208875955198511) 
(3,106,4.208875955198511) 
(3,102,12.626627865595532) 
(3,95,74.60685338631266) 
(1,105,33.67100764158809) 
(1,96,4.208875955198511) 
(0,110,21.044379775992553) 
(0,78,252.53255731191064) 
(0,81,36.7884685439516) 
(0,66,42.088759551985106) 
(0,108,12.626627865595532) 
(0,107,42.088759551985106) 
(0,106,8.417751910397023) 
(0,104,78.95562022400745) 
(0,102,42.08875955198511) 
(0,95,10.522189887996277) 
(5,110,6.313313932797766) 
(5,78,6.313313932797766) 
(5,81,6.313313932797767) 
(5,59,71.55089123837469) 
(5,57,4.208875955198511) 
(5,64,4.208875955198511) 
(5,95,8.41775191039702) 
(4,111,4.208875955198511) 
(4,64,5.791124044801489) 
(4,61,25.277380843627842) 
(9,110,18.004096053668718) 
(9,66,53.05596214793798) 
(8,77,7.575976719357319) 
(8,66,90.49083303676798) 
(8,65,29.462131686389576) 
(8,60,21.044379775992557) 
(35,105,31.582248089602977) 
(36,110,18.80005091589703) 
(36,66,6.313313932797766) 
(36,108,100.99734449915012) 
(36,106,14.731065843194784) 
(36,95,29.462131686389576) 
(39,80,12.626627865595532) 
(39,56,10.522189887996278) 
(39,61,4.208875955198511) 
(39,102,21.044379775992553) 
(39,92,113.62397236474564) 
(39,91,31.582248089602977) 
(40,81,6.313313932797766) 
(40,64,16.835503820794045) 
(40,107,63.70236449281638) 
(22,79,50.50651146238213) 
(22,66,18.9399417983933) 
(22,59,31.56656966398883) 
(22,57,16.835503820794045) 
(22,56,189.399417983933) 
(22,61,16.835503820794045) 
(22,106,4.208875955198511) 
(22,105,8.417751910397023) 
(22,104,12.626627865595532) 
(22,102,56.8198253951799) 
(23,57,8.417751910397023) 
(23,56,252.53255731191064) 
(24,81,559.780502041402) 
(24,95,12.626627865595532) 
(25,110,42.088759551985106) 
(25,77,88.38639505916873) 
(25,80,606.0781375485856) 
(25,59,42.088759551985106) 
(25,56,21.044379775992557) 
(25,104,137.80149146871588) 
(25,102,252.53255731191064) 
(21,61,13.023390348678596) 
(21,109,8.417751910397023) 
(21,107,7.8642051711724505) 
(21,96,84.10034192393056) 
(21,95,62.78219717370596) 
(10,110,21.044379775992557) 
(10,111,58.92426337277915) 
(10,78,30.10853403126795) 
(10,77,112.36130957818608) 
(10,81,54.715387417583784) 
(10,59,4.208875955198511) 
(10,56,23.14881775359181) 
(10,108,4.208875955198511) 
(10,107,4.208875955198511) 
(10,106,4.208875955198511) 
(10,92,5.050651146238214) 
(55,80,6.313313932797766) 
(55,66,77.86420517117244) 
(55,59,4.208875955198511) 
(55,56,4.208875955198511) 
(55,60,4.208875955198511) 
(49,56,6.313313932797766) 
(49,65,2.1201164032134017) 
(49,104,4.208875955198511) 
(49,102,4.208875955198511) 
(49,95,29.446453260775428) 
(46,110,71.55089123837469) 
(46,111,6.313313932797766) 
(46,78,35.12904327430897) 
(46,81,231.4881775359181) 
(46,59,16.835503820794045) 
(46,56,21.044379775992553) 
(46,108,6.313313932797767) 
(46,107,4.208875955198511) 
(46,106,4.208875955198511) 
(46,104,6.313313932797766) 
(46,96,2.7508403224776288) 
(46,95,21.044379775992553) 
(51,78,33.67100764158809) 
(51,81,33.67100764158809) 
(51,66,6.313313932797766) 
(51,59,16.835503820794045) 
(51,56,25.253255731191064) 
(51,61,8.417751910397023) 
(52,78,6.313313932797766) 
(52,81,21.044379775992553) 
(52,66,6.313313932797766) 
(52,59,14.731065843194788) 
(52,56,21.044379775992553) 
(52,61,6.313313932797766) 
(52,104,4.208875955198511) 
(52,95,23.14881775359181) 
(53,110,4.208875955198511) 
(53,78,4.208875955198511) 
(53,108,10.537868313610424) 
(53,105,14.715387417580642) 
(50,81,12.626627865595534) 
(50,66,4.208875955198511) 
(50,59,4.208875955198511) 
(50,56,18.9399417983933) 
(50,60,6.313313932797766) 
(50,104,18.9399417983933) 
(50,102,8.417751910397023) 
(50,95,10.522189887996277) 

