(3,110,50.91025067499207) 
(3,111,3.029916441669312) 
(3,78,33.32908085836244) 
(3,81,12.119665766677247) 
(3,66,7.3031992375527555) 
(3,57,1.7663883312353832) 
(3,64,16.413108587741476) 
(3,61,13.634623987511906) 
(3,108,3.029916441669312) 
(3,107,3.029916441669312) 
(3,106,3.0299164416693123) 
(3,102,50.910250674992064) 
(3,95,54.586217850560445) 
(3,92,60.95696380543381) 
(1,56,20.545225334825318) 
(1,105,68.00133517922708) 
(1,96,3.029916441669312) 
(0,110,15.14958220834656) 
(0,78,460.5983196011781) 
(0,77,33.090668740450496) 
(0,81,84.85041779165344) 
(0,66,30.299164416693124) 
(0,109,4.510925015611444) 
(0,108,9.089749325007936) 
(0,107,169.70083558330688) 
(0,106,6.059832883338625) 
(0,105,108.23234163870202) 
(0,104,84.85041779165344) 
(0,102,30.299164416693124) 
(0,95,7.57479110417328) 
(0,92,155.01480058443218) 
(5,110,4.544874662503968) 
(5,78,4.544874662503968) 
(5,81,4.544874662503968) 
(5,59,51.50857950837831) 
(5,57,3.0299164416693123) 
(5,64,3.029916441669312) 
(5,60,36.226609922265084) 
(5,95,6.059832883338625) 
(4,111,3.0299164416693123) 
(4,64,34.748569081781056) 
(9,110,67.08571519656397) 
(8,78,33.43603069175825) 
(8,60,26.630589397457477) 
(35,92,33.94016711666138) 
(36,81,368.64637246924974) 
(36,66,4.544874662503968) 
(36,108,35.240958582881504) 
(36,107,37.548243249730675) 
(36,106,17.962015532247847) 
(36,102,15.291755728937858) 
(36,95,125.61746624018387) 
(39,80,9.089749325007936) 
(39,59,113.93276797847125) 
(39,56,7.57479110417328) 
(39,61,3.029916441669312) 
(39,108,19.49484730385679) 
(39,105,56.734720658047905) 
(39,102,15.14958220834656) 
(39,91,35.48907498438856) 
(40,81,59.47161535095696) 
(40,64,12.119665766677247) 
(40,107,17.484684355792076) 
(22,79,385.2504016641862) 
(22,66,13.634623987511906) 
(22,59,22.724373312519837) 
(22,57,12.11966576667725) 
(22,56,310.5983230632562) 
(22,61,12.119665766677247) 
(22,106,3.029916441669312) 
(22,105,6.059832883338624) 
(22,104,9.089749325007936) 
(22,102,40.90387196253571) 
(23,57,6.059832883338625) 
(23,56,460.59831960117725) 
(24,110,160.05411215322934) 
(24,81,1049.6870566363357) 
(24,104,35.84337042210955) 
(24,95,9.089749325007936) 
(25,110,30.29916441669312) 
(25,77,112.41882372083) 
(25,80,311.8437313652621) 
(25,59,30.29916441669312) 
(25,56,15.149582208346562) 
(25,104,339.40167116661377) 
(25,102,501.76638524421566) 
(21,65,35.48907498438856) 
(21,61,153.37578816097286) 
(21,107,74.60001053044073) 
(21,96,89.07596547342628) 
(10,110,15.149582208346562) 
(10,111,28.784206195858467) 
(10,78,18.179498650015873) 
(10,77,268.5932674127537) 
(10,81,39.38891374170106) 
(10,59,3.029916441669312) 
(10,56,16.66454042918122) 
(10,64,73.43602278668011) 
(10,108,3.029916441669312) 
(10,107,3.029916441669312) 
(10,106,3.029916441669312) 
(10,92,3.6358997300031746) 
(55,77,5.808402195924895) 
(55,80,4.544874662503968) 
(55,66,103.68235217746643) 
(55,59,3.029916441669312) 
(55,56,3.0299164416693123) 
(55,60,3.029916441669312) 
(49,57,18.852104104812287) 
(49,56,25.455125337496035) 
(49,104,3.029916441669312) 
(49,102,3.029916441669312) 
(46,110,110.53680230882337) 
(46,111,183.69613265352197) 
(46,78,8.933023872241947) 
(46,77,153.44344575550753) 
(46,81,422.2151263010799) 
(46,59,12.119665766677247) 
(46,56,15.14958220834656) 
(46,108,4.544874662503968) 
(46,107,3.029916441669312) 
(46,106,3.029916441669312) 
(46,104,4.544874662503968) 
(46,95,15.14958220834656) 
(51,78,31.468241109003074) 
(51,81,74.45681026582368) 
(51,66,4.544874662503968) 
(51,59,12.11966576667725) 
(51,56,29.27225625381189) 
(51,61,6.059832883338624) 
(52,78,4.544874662503968) 
(52,81,15.14958220834656) 
(52,66,4.544874662503968) 
(52,59,10.604707545842594) 
(52,56,15.14958220834656) 
(52,61,4.544874662503968) 
(52,104,3.0299164416693123) 
(52,92,73.5868819492452) 
(53,110,3.029916441669312) 
(53,78,3.029916441669312) 
(53,92,24.375126428041344) 
(50,80,9.457827056375695) 
(50,81,9.089749325007936) 
(50,66,3.0299164416693123) 
(50,59,3.029916441669312) 
(50,56,13.634623987511906) 
(50,60,4.544874662503968) 
(50,102,6.059832883338624) 
(50,92,147.11225996398696) 

