1 (11,18,0)
1 (11,36,31)
1 (13,17,96)
1 (13,54,6)
1 (14,11,6)
1 (14,13,24)
1 (14,17,6)
1 (14,28,9)
1 (14,30,9)
1 (14,39,12)
1 (14,53,9)
1 (14,9077,114)
1 (17,13,51)
1 (17,19,237)
1 (17,47,24)
1 (17,53,17)
1 (18,53,61)
1 (19,13,11)
1 (19,28,82)
1 (19,30,81)
1 (19,36,7)
1 (19,49,6)
1 (19,50,6)
1 (19,51,6)
1 (19,52,9)
1 (19,53,68)
1 (19,54,59)
1 (19,9076,34)
1 (19,9077,13)
1 (28,11,24)
1 (28,14,24)
1 (28,19,28)
1 (28,30,74)
1 (28,46,84)
1 (28,47,18)
1 (28,48,12)
1 (28,49,6)
1 (28,9076,280)
1 (28,9077,46)
1 (29,11,12)
1 (29,9076,374)
1 (30,46,398)
1 (30,47,275)
1 (30,53,62)
1 (30,9076,31)
1 (30,9077,62)
1 (30,9084,711)
1 (36,14,5)
1 (36,19,9)
1 (36,39,184)
1 (36,49,14)
1 (36,51,126)
1 (39,14,6)
1 (39,36,123)
1 (39,46,31)
1 (39,48,200)
1 (39,50,21)
1 (39,9045,12)
1 (39,9076,15)
1 (39,9084,18)
1 (40,39,0)
1 (40,47,18)
1 (40,50,14)
1 (40,52,3)
1 (40,53,39)
1 (46,30,343)
1 (46,39,31)
1 (46,47,9)
1 (46,49,6)
1 (46,50,6)
1 (46,51,9)
1 (46,54,37)
1 (46,9076,31)
1 (46,9077,24)
1 (46,9084,134)
1 (48,46,6)
1 (48,47,6)
1 (48,53,129)
1 (48,9076,9)
1 (49,13,9)
1 (49,19,6)
1 (49,30,18)
1 (49,46,12)
1 (49,53,12)
1 (49,9076,28)
1 (49,9077,6)
1 (49,9078,31)
1 (50,14,27)
1 (50,19,9)
1 (50,28,28)
1 (50,30,49)
1 (50,40,6)
1 (50,9076,37)
1 (50,9077,24)
1 (51,14,9)
1 (51,19,9)
1 (51,28,9)
1 (51,30,31)
1 (51,36,34)
1 (51,47,6)
1 (51,9076,31)
1 (51,9077,21)
1 (52,28,6)
1 (52,40,58)
1 (52,51,39)
1 (52,53,6)
1 (54,13,6)
1 (54,19,99)
1 (54,28,39)
1 (54,9076,6)
1 (54,9077,6)
1 (54,9084,9)
1 (9045,18,12)
1 (9045,50,0)
1 (9076,19,62)
1 (9076,28,374)
1 (9076,30,31)
1 (9076,39,34)
1 (9076,40,1)
1 (9076,46,62)
1 (9076,47,31)
1 (9076,49,12)
1 (9076,50,62)
1 (9076,51,18)
1 (9076,53,31)
1 (9076,9078,137)
1 (9076,9084,53)
1 (9077,14,28)
1 (9077,19,6)
1 (9077,28,68)
1 (9077,30,24)
1 (9077,39,125)
1 (9077,46,18)
1 (9077,49,13)
1 (9077,50,13)
1 (9077,51,6)
1 (9077,53,18)
1 (9077,54,6)
1 (9078,39,237)
1 (9084,14,36)
1 (9084,30,663)
1 (9084,39,18)
1 (9084,9078,131)
