0 (322,330) 30.307694806000246
1 (326,330) 51.0023171747958
2 (326,466) 24.630304317534318
3 (330,322) 39.63904663067531
4 (330,326) 52.786805732387535
5 (330,484) 56.124313
6 (336,466) 16.687137922432836
7 (464,465) 32.3609913079321
8 (464,468) 60.44982697407779
9 (464,470) 12.885897985026041
10 (465,464) 32.38263095439429
11 (466,326) 22.88375403357691
12 (466,336) 28.542244008550853
13 (466,468) 42.03188051851583
14 (468,464) 37.16962390419047
15 (468,466) 22.62078354480615
16 (468,472) 9.534035226203166
17 (470,464) 13.207207837219936
18 (470,472) 37.008548295945076
19 (470,476) 26.051022062954033
20 (472,468) 17.95068947271449
21 (472,470) 35.96731012667101
22 (472,478) 53.788821825730786
23 (474,476) 7.926885243723433
24 (474,620) 11.3357772
25 (476,470) 25.478961769913123
26 (476,474) 18.976927886350385
27 (476,478) 44.410286177794575
28 (478,472) 29.57588653010762
29 (478,476) 24.87780348114895
30 (478,480) 7.6359060865395865
31 (480,478) 15.694444910667126
32 (480,611) 64.91693656058989
33 (480,612) 14.59051281801278
34 (482,330) 25.070976267100296
35 (482,490) 22.715072388883808
36 (484,482) 12.312454464634248
37 (484,486) 11.62001644281996
38 (484,611) 18.111218358857144
39 (485,484) 5.371559988059888
40 (485,488) 18.145235280322304
41 (486,484) 7.345842521199379
42 (486,485) 10.997954894171302
43 (486,602) 27.78239114909782
44 (486,608) 37.370469159390595
45 (488,485) 15.227916499175903
46 (488,490) 21.314030448197528
47 (488,492) 43.14853661641368
48 (488,598) 22.132014123264
49 (490,586) 65.5553915765174
50 (492,488) 20.912275838130608
51 (492,494) 37.42533063216947
52 (492,594) 45.78531502055385
53 (494,492) 45.91293007454432
54 (586,588) 12.034786910644973
55 (586,594) 44.86977096020385
56 (588,482) 48.66394953139755
57 (588,494) 19.33377917743119
58 (590,592) 15.767337123745472
59 (592,590) 6.639062514118137
60 (592,594) 16.325411823635648
61 (592,596) 48.59012937844243
62 (592,2054) 24.603543603815176
63 (594,492) 54.42135256410805
64 (594,592) 9.652858098873201
65 (594,599) 30.0256
66 (596,592) 37.96435726497512
67 (596,597) 4.827301280930401
68 (596,600) 31.018905770815017
69 (596,2056) 27.38717941666667
70 (597,596) 4.943536790046488
71 (597,599) 4.808244771428571
72 (598,488) 13.772314814814814
73 (598,599) 27.340401506878305
74 (598,2058) 29.63309370059442
75 (599,597) 4.824776736507936
76 (599,598) 27.281711411199996
77 (600,596) 37.78840522289422
78 (600,603) 4.600106473439241
79 (600,604) 25.583110347805118
80 (600,2060) 18.634532567385776
81 (602,486) 39.50657696114514
82 (602,605) 16.990930433049858
83 (602,2058) 28.8
84 (603,597) 20.870699659630496
85 (603,602) 10.072725450596373
86 (604,600) 29.291957596886636
87 (604,603) 14.352011249938187
88 (604,605) 9.818181818181818
89 (604,606) 27.07218836940463
90 (604,2062) 20.645214087901234
91 (605,602) 16.8597996288461
92 (605,604) 15.675400064191285
93 (605,608) 8.472288492489895
94 (606,604) 28.151194344976282
95 (606,610) 20.58363807415348
96 (606,616) 40.87236760171172
97 (606,2064) 23.584512931107955
98 (608,486) 57.099792169711215
99 (608,605) 3.9456734297932683
100 (608,609) 6.333921079482809
101 (609,610) 6.860311809650262
102 (609,612) 14.059565346351677
103 (609,2066) 14.49249140179753
104 (610,606) 27.397965952171354
105 (610,608) 12.173161931358269
106 (610,614) 21.447337090585766
107 (611,480) 65.9453452716897
108 (611,484) 18.365034331608022
109 (612,480) 13.01058155459048
110 (612,609) 20.923994473924207
111 (612,614) 18.37246735151671
112 (612,2066) 12.0
113 (614,610) 15.726696765124736
114 (614,612) 10.418691716067224
115 (614,616) 13.933882687926738
116 (614,620) 12.784113136707408
117 (616,606) 41.63388095236218
118 (616,614) 11.697008393594839
119 (616,618) 28.248986936081227
120 (616,2068) 19.476575714948602
121 (618,616) 57.95247369922012
122 (618,620) 29.14878030004861
123 (618,622) 28.69198362184098
124 (618,2070) 25.334133211400697
125 (620,474) 25.045389321600002
126 (620,614) 26.540393979742795
127 (620,618) 24.619699620095584
128 (622,618) 15.533231261538463
129 (2054,592) 22.359864142765403
130 (2058,598) 30.189247935619573
131 (2058,602) 29.501564152978457
132 (2060,600) 44.68114052740589
133 (2062,604) 45.71692432922407
134 (2064,606) 37.05164428230465
135 (2066,610) 21.189272688573748
136 (2066,612) 12.973610936625214
137 (2070,618) 42.96510567418265
