1 (14,11,10)
1 (14,17,10)
1 (14,28,15)
1 (14,30,15)
1 (14,48,2)
1 (14,53,15)
1 (14,9077,170)
1 (19,11,5)
1 (19,28,60)
1 (19,30,130)
1 (19,46,5)
1 (19,48,5)
1 (19,49,10)
1 (19,50,10)
1 (19,51,10)
1 (19,53,50)
1 (19,54,95)
1 (19,9076,55)
1 (19,9077,10)
1 (29,11,20)
1 (29,48,2)
1 (29,9076,600)
1 (30,46,600)
1 (30,47,200)
1 (30,53,100)
1 (30,9076,50)
1 (30,9077,100)
1 (46,30,550)
1 (46,40,5)
1 (46,47,15)
1 (46,48,5)
1 (46,49,10)
1 (46,50,10)
1 (46,51,15)
1 (46,52,2)
1 (46,9076,60)
1 (46,9077,40)
1 (48,46,10)
1 (48,47,10)
1 (48,48,2)
1 (48,9076,15)
1 (49,11,5)
1 (49,13,15)
1 (49,19,10)
1 (49,30,30)
1 (49,46,20)
1 (49,48,5)
1 (49,9076,45)
1 (49,9077,10)
1 (50,11,5)
1 (50,14,20)
1 (50,18,5)
1 (50,19,15)
1 (50,30,80)
1 (50,48,5)
1 (50,52,2)
1 (50,9076,70)
1 (50,9077,40)
1 (51,14,15)
1 (51,19,15)
1 (51,28,15)
1 (51,30,50)
1 (51,47,10)
1 (51,48,5)
1 (51,49,5)
1 (51,9076,60)
1 (51,9077,35)
1 (52,14,3)
1 (52,19,5)
1 (52,28,10)
1 (52,48,2)
1 (52,53,10)
1 (52,9076,5)
1 (52,9077,3)
1 (54,14,5)
1 (54,19,160)
1 (54,30,15)
1 (54,48,5)
1 (54,9076,10)
1 (54,9077,10)
1 (9076,14,5)
1 (9076,19,100)
1 (9076,28,600)
1 (9076,30,50)
1 (9076,46,100)
1 (9076,47,50)
1 (9076,49,20)
1 (9076,50,100)
1 (9076,51,30)
1 (9076,52,3)
1 (9076,53,50)
1 (9076,9077,5)
1 (9077,14,45)
1 (9077,17,5)
1 (9077,19,10)
1 (9077,28,110)
1 (9077,30,40)
1 (9077,46,30)
1 (9077,48,5)
1 (9077,49,10)
1 (9077,50,10)
1 (9077,51,10)
1 (9077,52,3)
1 (9077,53,30)
1 (9077,54,10)
