0 (0,11200) 0.0
1 (1,11300) 0.0
2 (1,11400) 0.0
3 (2,11500) 0.0
4 (2,11600) 0.0
5 (2,11700) 0.0
6 (3,11800) 0.0
7 (4,11900) 0.0
8 (4,12000) 0.0
9 (4,12100) 0.0
10 (5,12200) 0.0
11 (6,12300) 0.0
12 (6,12400) 0.0
13 (6,12500) 0.0
14 (7,12600) 0.0
15 (7,12700) 0.0
16 (7,12800) 0.0
17 (8,12900) 0.0
18 (8,13000) 0.0
19 (8,13100) 0.0
20 (9,13200) 0.0
21 (9,13300) 0.0
22 (9,13400) 0.0
23 (10,13500) 0.0
24 (10,13600) 0.0
25 (11,13700) 0.0
26 (11,13800) 0.0
27 (11,13900) 0.0
28 (12,14000) 0.0
29 (12,14100) 0.0
30 (12,14200) 0.0
31 (13,14300) 0.0
32 (13,14400) 0.0
33 (13,14500) 0.0
34 (14,14600) 0.0
35 (14,14700) 0.0
36 (15,14800) 0.0
37 (15,14900) 0.0
38 (15,15000) 0.0
39 (16,15100) 0.0
40 (16,15200) 0.0
41 (17,15300) 0.0
42 (17,15400) 0.0
43 (17,15500) 0.0
44 (17,15600) 0.0
45 (18,15700) 0.0
46 (18,15800) 0.0
47 (18,15900) 0.0
48 (18,16000) 0.0
49 (19,16100) 0.0
50 (20,16200) 0.0
51 (20,16300) 0.0
52 (20,16400) 0.0
53 (21,16500) 0.0
54 (22,16600) 0.0
55 (22,16700) 0.0
56 (23,16800) 0.0
57 (23,16900) 0.0
58 (24,17000) 0.0
59 (25,17100) 0.0
60 (25,17200) 0.0
61 (25,17300) 0.0
62 (25,17400) 0.0
63 (26,17500) 0.0
64 (26,17600) 0.0
65 (26,17700) 0.0
66 (27,17800) 0.0
67 (27,17900) 0.0
68 (27,18000) 0.0
69 (27,18100) 0.0
70 (28,18200) 0.0
71 (28,18300) 0.0
72 (29,18400) 0.0
73 (29,18500) 0.0
74 (29,18600) 0.0
75 (30,18700) 0.0
76 (30,18800) 0.0
77 (31,18900) 0.0
78 (31,19000) 0.0
79 (31,19100) 0.0
80 (31,19200) 0.0
81 (32,19300) 0.0
82 (32,19400) 0.0
83 (32,19500) 0.0
84 (33,19600) 0.0
85 (33,19700) 0.0
86 (34,19800) 0.0
87 (34,19900) 0.0
88 (34,20000) 0.0
89 (34,20100) 0.0
90 (34,20200) 0.0
91 (35,20300) 0.0
92 (35,20400) 0.0
93 (35,20500) 0.0
94 (36,20600) 0.0
95 (36,20700) 0.0
96 (36,20800) 0.0
97 (36,20900) 0.0
98 (37,21000) 0.0
99 (37,21100) 0.0
100 (37,21200) 0.0
101 (38,21300) 0.0
102 (38,21400) 0.0
103 (38,21500) 0.0
104 (39,21600) 0.0
105 (39,21700) 0.0
106 (39,21800) 0.0
107 (40,21900) 0.0
108 (40,22000) 0.0
109 (41,22100) 0.0
110 (41,22200) 0.0
111 (41,22300) 0.0
112 (41,22400) 0.0
113 (42,22500) 0.0
114 (42,22600) 0.0
115 (42,22700) 0.0
116 (42,22800) 0.0
117 (43,22900) 0.0
118 (43,23000) 0.0
119 (43,23100) 0.0
120 (43,23200) 0.0
121 (44,23300) 0.0
