1 (622,618) 17
2 (618,616) 47
3 (616,606) 33
4 (606,604) 21
5 (604,600) 21
6 (600,596) 28
7 (596,592) 30
8 (592,590) 8
9 (590,592) 8
10 (592,596) 36
11 (596,600) 31
12 (600,604) 23
13 (604,606) 23
14 (606,616) 35
15 (616,618) 45
16 (618,622) 15
17 (336,466) 18
18 (466,468) 40
19 (468,472) 12
20 (472,478) 40
21 (478,480) 9
22 (480,612) 20
23 (612,480) 10
24 (480,478) 26
25 (478,472) 36
26 (472,468) 26
27 (468,466) 32
28 (466,336) 28
29 (322,330) 30
30 (330,484) 50
31 (484,486) 15
32 (486,602) 30
33 (602,605) 17
34 (605,604) 30
35 (604,2062) 25
36 (2062,604) 30
37 (604,603) 20
38 (603,602) 10
39 (602,486) 38
40 (486,484) 7
41 (484,482) 12
42 (482,330) 25
43 (330,322) 38
44 (2054,592) 20
45 (592,594) 22
46 (594,492) 50
47 (492,488) 20
48 (488,485) 17
49 (485,484) 6
50 (486,608) 33
51 (608,609) 6
52 (609,612) 15
53 (612,614) 21
54 (614,616) 18
55 (616,2068) 19
56 (616,614) 14
57 (614,612) 15
58 (612,609) 17
59 (609,610) 6
60 (610,608) 7
61 (608,486) 53
62 (486,485) 11
63 (485,488) 18
64 (488,492) 42
65 (492,594) 33
66 (594,592) 11
67 (592,2054) 22
68 (2070,618) 32
69 (618,620) 28
70 (620,618) 25
71 (618,2070) 25
72 (2064,606) 36
73 (606,610) 14
74 (610,606) 26
75 (606,2064) 25
76 (2060,600) 44
77 (600,603) 4
78 (600,2060) 18
79 (488,598) 22
80 (598,599) 30
81 (599,597) 6
82 (597,596) 26
83 (596,2056) 22
84 (596,597) 6
85 (597,599) 6
86 (599,598) 25
87 (598,488) 12
88 (610,614) 22
89 (614,620) 13
90 (620,474) 25
91 (474,620) 11
92 (620,614) 25
93 (614,610) 10
94 (586,588) 11
95 (588,494) 20
96 (588,482) 33
97 (482,490) 23
98 (490,586) 45
99 (465,464) 33
100 (464,468) 62
101 (468,464) 37
102 (464,465) 32
103 (464,470) 14
104 (470,476) 29
105 (476,470) 25
106 (470,464) 17
107 (470,472) 40
108 (472,470) 36
109 (474,476) 8
110 (476,478) 44
111 (478,476) 24
112 (476,474) 37
113 (466,326) 23
114 (326,330) 80
115 (330,326) 50
116 (326,466) 28
117 (480,611) 64
118 (619,474) 18
119 (474,619) 18
