A simple graph proposed by professor Les in order to test the efficacy of the fuzzy LP method.
9 14
1 2 3 4 5 6 7 8 9
(1,5) (1,7)
(2,7) (2,6)
(5,3) (5,8)
(6,4) (6,8) 
(7,8)
(8,9) (8,5) (8,6)
(9,3) (9,4)
$
(1,3) (1,4) (2,3) (2,4)
#
(1,5,215,20,20) (2,6,190,20,20) (7,8,265,20,20)
(1,3,210,20,20) (1,4,140,20,20) (2,3,135,20,20)
&
(1,345,20,20)
(4,320,20,20)
%ROUTE
1 (1,5,3) 240
2 (1,5,8,9,3) 2400
3 (1,7,8,5,3) 2400
4 (1,7,8,9,3) 2400
5 (1,7,8,9,4) 300
6 (1,5,8,6,4) 300
7 (1,5,8,9,4) 300
8 (1,7,8,6,4) 300
9 (2,6,8,5,3) 3100
10 (2,6,8,9,3) 3100
11 (2,7,8,9,3) 310
12 (2,7,8,5,3) 310
13 (2,6,4) 220
14 (2,6,8,9,4) 2200
15 (2,7,8,9,4) 2200
