1 (322,330) 2500 19.9
2 (326,330) 1200 48.8
3 (326,466) 1200 22.4
4 (330,322) 2500 19.9
5 (330,326) 1200 48.8
6 (330,484) 2500 27.0
7 (336,466) 900 16.0
8 (464,465) 900 31.5
9 (464,468) 900 36.0
10 (464,470) 900 12.6
11 (465,464) 900 31.5
12 (466,326) 1200 22.4
13 (466,336) 900 16.0
14 (466,468) 900 21.6
15 (468,464) 900 36.0
16 (468,466) 900 21.6
17 (468,472) 900 9.0
18 (470,464) 900 12.6
19 (470,472) 900 35.1
20 (470,476) 900 25.2
21 (472,468) 900 9.0
22 (472,470) 900 35.1
23 (472,478) 900 28.8
24 (474,476) 1400 7.8
26 (474,620) 2200 10.8
27 (476,470) 900 25.2
28 (476,474) 1400 7.8
29 (476,478) 1400 24.8
30 (478,472) 900 28.8
31 (478,476) 1400 24.8
32 (478,480) 900 7.2
33 (480,478) 900 7.2
34 (480,611) 600 64.2
35 (480,612) 900 12.6
36 (482,330) 2500 11.2
37 (482,490) 3200 22.4
38 (484,482) 2500 11.5
39 (484,486) 2500 5.1
40 (484,611) 600 18.0
41 (485,484) 900 5.0
42 (485,488) 900 14.7
43 (486,484) 2500 5.1
44 (486,485) 3200 8.6
45 (486,602) 2500 27.6
46 (486,608) 1200 31.5
47 (488,485) 900 14.7
48 (488,490) 3200 18.0
49 (488,492) 900 20.4
50 (488,598) 1200 13.5
51 (490,586) 3200 32.8
52 (492,488) 900 18.8
53 (492,494) 3200 20.4
54 (492,594) 900 26.2
55 (494,492) 900 20.4
56 (586,588) 3200 11.2
57 (586,594) 1400 24.6
58 (588,482) 3200 40.8
59 (588,494) 3200 8.1
60 (590,592) 2000 6.0
61 (592,590) 2000 6.0
62 (592,594) 900 8.6
63 (592,596) 2000 13.8
64 (592,2054) 900 19.8
65 (594,492) 900 26.2
66 (594,592) 900 8.6
67 (594,599) 600 30.0
68 (596,592) 2000 13.8
69 (596,597) 1200 4.8
70 (596,600) 2000 13.8
71 (596,2056) 1200 24.7
72 (597,596) 1200 4.8
73 (597,599) 1200 4.8
74 (598,488) 1200 13.5
75 (598,599) 1200 27.2
76 (598,2058) 3200 28.8
77 (599,597) 1200 4.8
78 (599,598) 1200 27.2
79 (600,596) 2000 15.5
80 (600,603) 1800 4.1
81 (600,604) 2000 11.0
82 (600,2060) 1200 18.3
83 (602,486) 2500 21.6
84 (602,605) 2500 16.8
85 (602,2058) 3200 28.8
86 (603,597) 3200 20.4
87 (603,602) 1800 9.8
88 (604,600) 2000 11.0
89 (604,603) 3200 14.0
90 (604,605) 2500 9.8
91 (604,606) 2000 11.0
92 (604,2062) 1400 20.1
93 (605,602) 2500 16.8
94 (605,604) 2500 15.0
95 (605,608) 3200 3.6
96 (606,604) 2000 11.0
97 (606,610) 1200 13.0
98 (606,616) 2000 18.0
99 (606,2064) 1200 22.9
100 (608,486) 1200 30.0
101 (608,605) 3200 3.6
102 (608,609) 1200 5.4
103 (609,610) 3200 5.8
104 (609,612) 1200 13.5
105 (609,2066) 3200 14.4
106 (610,606) 1200 13.0
107 (610,608) 1200 5.8
108 (610,614) 2200 9.0
109 (611,480) 600 64.2
110 (611,484) 600 18.0
111 (612,480) 900 12.6
112 (612,609) 1200 13.5
113 (612,614) 1200 9.0
114 (612,2066) 3200 12.0
115 (614,610) 2200 9.0
116 (614,612) 1200 9.0
117 (614,616) 1200 6.0
118 (614,620) 2200 12.4
119 (616,606) 2000 18.0
120 (616,614) 1200 6.0
121 (616,618) 2000 25.4
122 (616,2068) 1800 18.0
123 (618,616) 2000 25.4
124 (618,620) 1200 24.0
125 (618,622) 2000 13.2
126 (618,2070) 1200 24.0
128 (620,474) 2200 10.8
129 (620,614) 2200 12.4
130 (620,618) 1200 24.0
131 (622,618) 2000 13.2
132 (2054,592) 900 19.8
133 (2058,598) 3200 28.8
134 (2058,602) 3200 28.8
135 (2060,600) 1200 22.9
136 (2062,604) 1400 22.9
137 (2064,606) 1200 18.3
138 (2066,610) 3200 14.4
139 (2066,612) 3200 12.0
140 (2070,618) 1200 24.0
